entity_id,case_id,sentence_id,type,original_span,normalized_label,start_char,end_char,attributes,rule_id
PMC5137649_01_C0030,PMC5137649_01,10,Finding,mucosal abnormalities,mucosal abnormalities,1402,1423,"{""assertion"": ""negated"", ""gazetteer_term"": ""mucosal abnormalities""}",gazetteer_finding_v1
PMC5137649_01_C0031,PMC5137649_01,10,AnatomicalSite,stomach,stomach,1431,1438,"{""assertion"": ""present"", ""gazetteer_term"": ""stomach""}",gazetteer_anatomicalsite_v1
PMC5137649_01_C0032,PMC5137649_01,11,Finding,cyst,cyst,1481,1485,"{""assertion"": ""present"", ""gazetteer_term"": ""cyst""}",gazetteer_finding_v1
PMC5137649_01_C0033,PMC5137649_01,11,AnatomicalSite,coeliac axis,coeliac axis,1506,1518,"{""assertion"": ""present"", ""gazetteer_term"": ""coeliac axis""}",gazetteer_anatomicalsite_v1
PMC5137649_01_C0034,PMC5137649_01,11,Procedure,open resection,open resection,1557,1571,"{""assertion"": ""present"", ""gazetteer_term"": ""open resection""}",gazetteer_procedure_v1
PMC5137649_01_C0035,PMC5137649_01,12,AnatomicalSite,stomach,stomach,1577,1584,"{""assertion"": ""present"", ""gazetteer_term"": ""stomach""}",gazetteer_anatomicalsite_v1
PMC5137649_01_C0036,PMC5137649_01,12,Diagnosis,gastric duplication cyst,gastric duplication cyst,1613,1637,"{""assertion"": ""present"", ""certainty"": ""confirmed"", ""gazetteer_term"": ""gastric duplication cyst""}",gazetteer_diagnosis_v1
PMC5137649_01_C0037,PMC5137649_01,13,AnatomicalSite,coeliac vessels,coeliac vessels,1712,1727,"{""assertion"": ""present"", ""gazetteer_term"": ""coeliac vessels""}",gazetteer_anatomicalsite_v1
PMC5137649_01_C0038,PMC5137649_01,13,Finding,cyst,cyst,1759,1763,"{""assertion"": ""present"", ""gazetteer_term"": ""cyst""}",gazetteer_finding_v1
PMC5137649_01_C0039,PMC5137649_01,13,AnatomicalSite,posterior wall of the stomach,posterior wall of stomach,1792,1821,"{""assertion"": ""present"", ""gazetteer_term"": ""posterior wall of the stomach""}",gazetteer_anatomicalsite_v1
PMC5137649_01_C0040,PMC5137649_01,14,Exam,oesophagogastroduodenoscopy,esophagogastroduodenoscopy,1868,1895,"{""assertion"": ""present"", ""gazetteer_term"": ""oesophagogastroduodenoscopy""}",gazetteer_exam_v1
PMC5137649_01_C0041,PMC5137649_01,14,AnatomicalSite,posterior stomach wall,posterior wall of stomach,1950,1972,"{""assertion"": ""present"", ""gazetteer_term"": ""posterior stomach wall""}",gazetteer_anatomicalsite_v1
PMC5137649_01_C0042,PMC5137649_01,14,Finding,bleeding,bleeding,1992,2000,"{""assertion"": ""negated"", ""gazetteer_term"": ""bleeding""}",gazetteer_finding_v1
PMC5137649_01_C0043,PMC5137649_01,14,Finding,leak,leak,2004,2008,"{""assertion"": ""negated"", ""gazetteer_term"": ""leak""}",gazetteer_finding_v1
PMC5137649_01_C0044,PMC5137649_01,16,Exam,Final pathology,histopathology,2046,2061,"{""assertion"": ""present"", ""gazetteer_term"": ""final pathology""}",gazetteer_exam_v1
PMC5137649_01_C0045,PMC5137649_01,16,Finding,cyst,cyst,2095,2099,"{""assertion"": ""present"", ""gazetteer_term"": ""cyst""}",gazetteer_finding_v1
PMC5137649_01_C0046,PMC5137649_01,16,Finding,cyst,cyst,2123,2127,"{""assertion"": ""present"", ""gazetteer_term"": ""cyst""}",gazetteer_finding_v1
PMC5137649_01_C0047,PMC5137649_01,16,Diagnosis,GDC,gastric duplication cyst,2151,2154,"{""assertion"": ""present"", ""certainty"": ""confirmed"", ""gazetteer_term"": ""GDC""}",gazetteer_diagnosis_v1
PMC5137649_01_C0048,PMC5137649_01,18,Symptom,nausea,nausea,2349,2355,"{""assertion"": ""present"", ""gazetteer_term"": ""nausea""}",gazetteer_symptom_v1
PMC11722600_01_C0001,PMC11722600_01,1,Procedure,cesarean section,cesarean section,39,55,"{""assertion"": ""present"", ""gazetteer_term"": ""cesarean section""}",gazetteer_procedure_v1
PMC11722600_01_C0002,PMC11722600_01,1,Symptom,continuous abdominal pain,abdominal pain,99,124,"{""assertion"": ""present"", ""gazetteer_term"": ""continuous abdominal pain""}",gazetteer_symptom_v1
PMC11722600_01_C0003,PMC11722600_01,1,AnatomicalSite,right iliac fossa,right iliac fossa,152,169,"{""assertion"": ""present"", ""gazetteer_term"": ""right iliac fossa""}",gazetteer_anatomicalsite_v1
PMC11722600_01_C0004,PMC11722600_01,2,Symptom,fever,fever,188,193,"{""assertion"": ""negated"", ""gazetteer_term"": ""fever""}",gazetteer_symptom_v1
PMC11722600_01_C0005,PMC11722600_01,2,Symptom,genitourinary symptoms,genitourinary symptoms,197,219,"{""assertion"": ""negated"", ""gazetteer_term"": ""genitourinary symptoms""}",gazetteer_symptom_v1
PMC11722600_01_C0006,PMC11722600_01,4,Symptom,dysmenorrhea,dysmenorrhea,295,307,"{""assertion"": ""negated"", ""gazetteer_term"": ""dysmenorrhea""}",gazetteer_symptom_v1
PMC11722600_01_C0007,PMC11722600_01,4,Symptom,cyclical pelvic pain,cyclical pelvic pain,311,331,"{""assertion"": ""negated"", ""gazetteer_term"": ""cyclical pelvic pain""}",gazetteer_symptom_v1
PMC11722600_01_C0008,PMC11722600_01,5,Exam,Physical examination,physical examination,334,354,"{""assertion"": ""present"", ""gazetteer_term"": ""physical examination""}",gazetteer_exam_v1
PMC11722600_01_C0009,PMC11722600_01,5,Symptom,abdominal pain,abdominal pain,364,378,"{""assertion"": ""present"", ""gazetteer_term"": ""abdominal pain""}",gazetteer_symptom_v1
PMC11722600_01_C0010,PMC11722600_01,5,AnatomicalSite,RIF,right iliac fossa,382,385,"{""assertion"": ""present"", ""gazetteer_term"": ""RIF""}",gazetteer_anatomicalsite_v1
PMC11722600_01_C0011,PMC11722600_01,5,Sign,localized tenderness,localized tenderness,392,412,"{""assertion"": ""present"", ""gazetteer_term"": ""localized tenderness""}",gazetteer_sign_v1
PMC11722600_01_C0012,PMC11722600_01,5,AnatomicalSite,RIF,right iliac fossa,420,423,"{""assertion"": ""present"", ""gazetteer_term"": ""RIF""}",gazetteer_anatomicalsite_v1
PMC11722600_01_C0013,PMC11722600_01,5,Sign,rebound tenderness,rebound tenderness,431,449,"{""assertion"": ""negated"", ""gazetteer_term"": ""rebound tenderness""}",gazetteer_sign_v1
PMC11722600_01_C0014,PMC11722600_01,6,Sign,McBurney's point,McBurney's point,461,477,"{""assertion"": ""present"", ""gazetteer_term"": ""McBurney's point""}",gazetteer_sign_v1
PMC11722600_01_C0015,PMC11722600_01,6,Sign,obturator sign,obturator sign,499,513,"{""assertion"": ""negated"", ""gazetteer_term"": ""obturator sign""}",gazetteer_sign_v1
PMC11722600_01_C0016,PMC11722600_01,8,Exam,ultrasound,ultrasound,820,830,"{""assertion"": ""present"", ""gazetteer_term"": ""ultrasound""}",gazetteer_exam_v1
PMC11722600_01_C0017,PMC11722600_01,8,Finding,free fluid,free fluid,843,853,"{""assertion"": ""present"", ""gazetteer_term"": ""free fluid""}",gazetteer_finding_v1
PMC11722600_01_C0018,PMC11722600_01,8,AnatomicalSite,Pouch of Douglas,pouch of Douglas,861,877,"{""assertion"": ""present"", ""gazetteer_term"": ""Pouch of Douglas""}",gazetteer_anatomicalsite_v1
PMC11722600_01_C0019,PMC11722600_01,9,Exam,CT,computed tomography,895,897,"{""assertion"": ""present"", ""gazetteer_term"": ""CT""}",gazetteer_exam_v1
PMC11722600_01_C0020,PMC11722600_01,9,Finding,enlarged cecal appendix,enlarged cecal appendix,957,980,"{""assertion"": ""present"", ""gazetteer_term"": ""enlarged cecal appendix""}",gazetteer_finding_v1
PMC11722600_01_C0021,PMC11722600_01,9,Finding,inflammatory changes,inflammatory changes,1014,1034,"{""assertion"": ""present"", ""gazetteer_term"": ""inflammatory changes""}",gazetteer_finding_v1
PMC11722600_01_C0022,PMC11722600_01,9,Finding,enlarged right ovary,enlarged right ovary,1043,1063,"{""assertion"": ""present"", ""gazetteer_term"": ""enlarged right ovary""}",gazetteer_finding_v1
PMC11722600_01_C0023,PMC11722600_01,10,Procedure,Laparoscopic exploration,laparoscopic exploration,1081,1105,"{""assertion"": ""present"", ""gazetteer_term"": ""laparoscopic exploration""}",gazetteer_procedure_v1
PMC11722600_01_C0024,PMC11722600_01,10,Diagnosis,phlegmonous appendicitis,phlegmonous appendicitis,1134,1158,"{""assertion"": ""present"", ""certainty"": ""confirmed"", ""gazetteer_term"": ""phlegmonous appendicitis""}",gazetteer_diagnosis_v1
PMC11722600_01_C0025,PMC11722600_01,10,AnatomicalSite,appendix,appendix,1192,1200,"{""assertion"": ""present"", ""gazetteer_term"": ""appendix""}",gazetteer_anatomicalsite_v1
PMC11722600_01_C0026,PMC11722600_01,10,Finding,inflammatory congestion,inflammatory congestion,1335,1358,"{""assertion"": ""present"", ""gazetteer_term"": ""inflammatory congestion""}",gazetteer_finding_v1
PMC11722600_01_C0027,PMC11722600_01,10,AnatomicalSite,right fallopian tube,right fallopian tube,1366,1386,"{""assertion"": ""present"", ""gazetteer_term"": ""right fallopian tube""}",gazetteer_anatomicalsite_v1
PMC11722600_01_C0028,PMC11722600_01,11,Procedure,laparoscopic appendectomy,appendectomy,1390,1415,"{""assertion"": ""present"", ""gazetteer_term"": ""laparoscopic appendectomy""}",gazetteer_procedure_v1
PMC11722600_01_C0029,PMC11722600_01,11,Procedure,salpingectomy,salpingectomy,1485,1498,"{""assertion"": ""present"", ""gazetteer_term"": ""salpingectomy""}",gazetteer_procedure_v1
PMC11722600_01_C0030,PMC11722600_01,12,Diagnosis,endometriosis,endometriosis,1581,1594,"{""assertion"": ""negated"", ""certainty"": ""confirmed"", ""gazetteer_term"": ""endometriosis""}",gazetteer_diagnosis_v1
PMC11722600_01_C0031,PMC11722600_01,14,Exam,Histopathology,histopathology,1694,1708,"{""assertion"": ""present"", ""gazetteer_term"": ""histopathology""}",gazetteer_exam_v1
PMC11722600_01_C0032,PMC11722600_01,14,AnatomicalSite,appendix,appendix,1716,1724,"{""assertion"": ""present"", ""gazetteer_term"": ""appendix""}",gazetteer_anatomicalsite_v1
PMC11722600_01_C0033,PMC11722600_01,14,Finding,endometrial stroma,endometrial stroma,1759,1777,"{""assertion"": ""present"", ""gazetteer_term"": ""endometrial stroma""}",gazetteer_finding_v1
PMC11722600_01_C0034,PMC11722600_01,14,AnatomicalSite,muscularis layer,muscularis layer,1789,1805,"{""assertion"": ""present"", ""gazetteer_term"": ""muscularis layer""}",gazetteer_anatomicalsite_v1
PMC11722600_01_C0035,PMC11722600_01,14,AnatomicalSite,appendix,appendix,1813,1821,"{""assertion"": ""present"", ""gazetteer_term"": ""appendix""}",gazetteer_anatomicalsite_v1
PMC11722600_01_C0036,PMC11722600_01,14,Diagnosis,endometriosis,endometriosis,1837,1850,"{""assertion"": ""present"", ""certainty"": ""confirmed"", ""gazetteer_term"": ""endometriosis""}",gazetteer_diagnosis_v1
PMC11722600_01_C0037,PMC11722600_01,14,Finding,bleeding,bleeding,1879,1887,"{""assertion"": ""present"", ""gazetteer_term"": ""bleeding""}",gazetteer_finding_v1
PMC11722600_01_C0038,PMC11722600_01,14,Finding,endometrial glands,endometrial glands,2037,2055,"{""assertion"": ""present"", ""gazetteer_term"": ""endometrial glands""}",gazetteer_finding_v1
PMC11722600_01_C0039,PMC11722600_01,14,Finding,endometrial stroma,endometrial stroma,2086,2104,"{""assertion"": ""present"", ""gazetteer_term"": ""endometrial stroma""}",gazetteer_finding_v1
PMC11722600_01_C0040,PMC11722600_01,14,AnatomicalSite,muscular layer,muscular layer,2116,2130,"{""assertion"": ""present"", ""gazetteer_term"": ""muscular layer""}",gazetteer_anatomicalsite_v1
PMC11722600_01_C0041,PMC11722600_01,15,AnatomicalSite,fallopian tube,fallopian tube,2164,2178,"{""assertion"": ""present"", ""gazetteer_term"": ""fallopian tube""}",gazetteer_anatomicalsite_v1
PMC11722600_01_C0042,PMC11722600_01,15,Exam,histology,histopathology,2179,2188,"{""assertion"": ""present"", ""gazetteer_term"": ""histology""}",gazetteer_exam_v1
PMC11722600_01_C0043,PMC11722600_01,15,Finding,endometrial glands,endometrial glands,2196,2214,"{""assertion"": ""present"", ""gazetteer_term"": ""endometrial glands""}",gazetteer_finding_v1
PMC11722600_01_C0044,PMC11722600_01,15,Diagnosis,malignancy,malignancy,2240,2250,"{""assertion"": ""negated"", ""certainty"": ""confirmed"", ""gazetteer_term"": ""malignancy""}",gazetteer_diagnosis_v1
PMC11783470_01_C0001,PMC11783470_01,1,Diagnosis,IDA,iron deficiency anemia,43,46,"{""assertion"": ""present"", ""certainty"": ""confirmed"", ""gazetteer_term"": ""IDA""}",gazetteer_diagnosis_v1
PMC11783470_01_C0002,PMC11783470_01,2,Symptom,menorrhagia,menorrhagia,63,74,"{""assertion"": ""negated"", ""gazetteer_term"": ""menorrhagia""}",gazetteer_symptom_v1
PMC11783470_01_C0003,PMC11783470_01,2,Diagnosis,gastrointestinal malignancy,gastrointestinal malignancy,96,123,"{""assertion"": ""negated"", ""certainty"": ""confirmed"", ""gazetteer_term"": ""gastrointestinal malignancy""}",gazetteer_diagnosis_v1
PMC11783470_01_C0004,PMC11783470_01,3,Symptom,dysphagia,dysphagia,136,145,"{""assertion"": ""negated"", ""gazetteer_term"": ""dysphagia""}",gazetteer_symptom_v1
PMC11783470_01_C0005,PMC11783470_01,3,Symptom,odynophagia,odynophagia,147,158,"{""assertion"": ""negated"", ""gazetteer_term"": ""odynophagia""}",gazetteer_symptom_v1
PMC11783470_01_C0006,PMC11783470_01,3,Symptom,heartburn,heartburn,160,169,"{""assertion"": ""negated"", ""gazetteer_term"": ""heartburn""}",gazetteer_symptom_v1
PMC11783470_01_C0007,PMC11783470_01,3,Symptom,nausea,nausea,171,177,"{""assertion"": ""negated"", ""gazetteer_term"": ""nausea""}",gazetteer_symptom_v1
PMC11783470_01_C0008,PMC11783470_01,3,Symptom,vomiting,vomiting,179,187,"{""assertion"": ""negated"", ""gazetteer_term"": ""vomiting""}",gazetteer_symptom_v1
PMC11783470_01_C0009,PMC11783470_01,3,Symptom,abdominal pain,abdominal pain,189,203,"{""assertion"": ""negated"", ""gazetteer_term"": ""abdominal pain""}",gazetteer_symptom_v1
PMC11783470_01_C0010,PMC11783470_01,3,Symptom,altered bowel habits,altered bowel habits,205,225,"{""assertion"": ""negated"", ""gazetteer_term"": ""altered bowel habits""}",gazetteer_symptom_v1
PMC11783470_01_C0011,PMC11783470_01,3,Symptom,melena,melena,227,233,"{""assertion"": ""negated"", ""gazetteer_term"": ""melena""}",gazetteer_symptom_v1
PMC11783470_01_C0012,PMC11783470_01,3,Symptom,hematochezia,hematochezia,235,247,"{""assertion"": ""negated"", ""gazetteer_term"": ""hematochezia""}",gazetteer_symptom_v1
PMC11783470_01_C0013,PMC11783470_01,3,Symptom,unintentional weight loss,unintentional weight loss,253,278,"{""assertion"": ""negated"", ""gazetteer_term"": ""unintentional weight loss""}",gazetteer_symptom_v1
PMC11783470_01_C0014,PMC11783470_01,5,Exam,Physical examination,physical examination,306,326,"{""assertion"": ""present"", ""gazetteer_term"": ""physical examination""}",gazetteer_exam_v1
PMC11783470_01_C0015,PMC11783470_01,5,Sign,conjunctival pallor,conjunctival pallor,370,389,"{""assertion"": ""present"", ""gazetteer_term"": ""conjunctival pallor""}",gazetteer_sign_v1
PMC11783470_01_C0016,PMC11783470_01,7,Diagnosis,iron deficiency,iron deficiency,588,603,"{""assertion"": ""present"", ""certainty"": ""confirmed"", ""gazetteer_term"": ""iron deficiency""}",gazetteer_diagnosis_v1
PMC11783470_01_C0017,PMC11783470_01,7,Exam,esophagogastroduodenoscopy,esophagogastroduodenoscopy,630,656,"{""assertion"": ""present"", ""gazetteer_term"": ""esophagogastroduodenoscopy""}",gazetteer_exam_v1
PMC11783470_01_C0018,PMC11783470_01,7,Exam,colonoscopy,colonoscopy,667,678,"{""assertion"": ""present"", ""gazetteer_term"": ""colonoscopy""}",gazetteer_exam_v1
PMC11783470_01_C0019,PMC11783470_01,7,Diagnosis,IDA,iron deficiency anemia,724,727,"{""assertion"": ""present"", ""certainty"": ""confirmed"", ""gazetteer_term"": ""IDA""}",gazetteer_diagnosis_v1
PMC11783470_01_C0020,PMC11783470_01,8,Exam,EGD,esophagogastroduodenoscopy,772,775,"{""assertion"": ""present"", ""gazetteer_term"": ""EGD""}",gazetteer_exam_v1
PMC11783470_01_C0021,PMC11783470_01,8,Procedure,biopsy,biopsy,857,863,"{""assertion"": ""present"", ""gazetteer_term"": ""biopsy""}",gazetteer_procedure_v1
PMC11783470_01_C0022,PMC11783470_01,9,Procedure,Biopsy,biopsy,880,886,"{""assertion"": ""present"", ""gazetteer_term"": ""biopsy""}",gazetteer_procedure_v1
PMC11783470_01_C0023,PMC11783470_01,9,Finding,well-circumscribed proliferation of chief cells,chief cell proliferation,922,969,"{""assertion"": ""present"", ""gazetteer_term"": ""well-circumscribed proliferation of chief cells""}",gazetteer_finding_v1
PMC11783470_01_C0024,PMC11783470_01,9,Diagnosis,OGA,oxyntic gland adenoma,1023,1026,"{""assertion"": ""present"", ""certainty"": ""confirmed"", ""gazetteer_term"": ""OGA""}",gazetteer_diagnosis_v1
PMC11783470_01_C0025,PMC11783470_01,10,Diagnosis,celiac disease,celiac disease,1080,1094,"{""assertion"": ""negated"", ""certainty"": ""confirmed"", ""gazetteer_term"": ""celiac disease""}",gazetteer_diagnosis_v1
PMC11783470_01_C0026,PMC11783470_01,10,Exam,ileocolonoscopy,ileocolonoscopy,1100,1115,"{""assertion"": ""present"", ""gazetteer_term"": ""ileocolonoscopy""}",gazetteer_exam_v1
PMC11783470_01_C0027,PMC11783470_01,10,Finding,bleeding source,bleeding source,1137,1152,"{""assertion"": ""negated"", ""gazetteer_term"": ""bleeding source""}",gazetteer_finding_v1
PMC11783470_01_C0028,PMC11783470_01,11,Diagnosis,OGA,oxyntic gland adenoma,1190,1193,"{""assertion"": ""present"", ""certainty"": ""confirmed"", ""gazetteer_term"": ""OGA""}",gazetteer_diagnosis_v1
PMC11783470_01_C0029,PMC11783470_01,12,Exam,EGD,esophagogastroduodenoscopy,1269,1272,"{""assertion"": ""present"", ""gazetteer_term"": ""EGD""}",gazetteer_exam_v1
PMC11783470_01_C0030,PMC11783470_01,12,Procedure,endoscopic resection,endoscopic resection,1277,1297,"{""assertion"": ""present"", ""gazetteer_term"": ""endoscopic resection""}",gazetteer_procedure_v1
PMC11783470_01_C0031,PMC11783470_01,13,Diagnosis,OGA,oxyntic gland adenoma,1390,1393,"{""assertion"": ""present"", ""certainty"": ""confirmed"", ""gazetteer_term"": ""OGA""}",gazetteer_diagnosis_v1
PMC11783470_01_C0032,PMC11783470_01,14,Symptom,menorrhagia,menorrhagia,1426,1437,"{""assertion"": ""present"", ""gazetteer_term"": ""menorrhagia""}",gazetteer_symptom_v1
PMC11783470_01_C0033,PMC11783470_01,14,Exam,endoscopy,endoscopy,1465,1474,"{""assertion"": ""present"", ""gazetteer_term"": ""endoscopy""}",gazetteer_exam_v1
PMC11783470_01_C0034,PMC11783470_01,14,Exam,endoscopy,endoscopy,1570,1579,"{""assertion"": ""present"", ""gazetteer_term"": ""endoscopy""}",gazetteer_exam_v1
PMC11783470_01_C0035,PMC11783470_01,15,Exam,EGD,esophagogastroduodenoscopy,1651,1654,"{""assertion"": ""present"", ""gazetteer_term"": ""EGD""}",gazetteer_exam_v1
PMC11783470_01_C0036,PMC11783470_01,15,Diagnosis,OGA,oxyntic gland adenoma,1708,1711,"{""assertion"": ""negated"", ""certainty"": ""confirmed"", ""gazetteer_term"": ""OGA""}",gazetteer_diagnosis_v1
PMC2817501_01_C0001,PMC2817501_01,1,Symptom,dyspnea,dyspnea,62,69,"{""assertion"": ""present"", ""gazetteer_term"": ""dyspnea""}",gazetteer_symptom_v1
PMC2817501_01_C0002,PMC2817501_01,1,Symptom,angina,angina,74,80,"{""assertion"": ""present"", ""gazetteer_term"": ""angina""}",gazetteer_symptom_v1
PMC2817501_01_C0003,PMC2817501_01,2,Procedure,aortic valve replacement,aortic valve replacement,93,117,"{""assertion"": ""present"", ""gazetteer_term"": ""aortic valve replacement""}",gazetteer_procedure_v1
PMC2817501_01_C0004,PMC2817501_01,3,Exam,physical examination,physical examination,269,289,"{""assertion"": ""present"", ""gazetteer_term"": ""physical examination""}",gazetteer_exam_v1
PMC2817501_01_C0005,PMC2817501_01,3,Sign,left hemiparesis,left hemiparesis,299,315,"{""assertion"": ""present"", ""gazetteer_term"": ""left hemiparesis""}",gazetteer_sign_v1
PMC2817501_01_C0006,PMC2817501_01,4,Sign,systolic murmur,systolic murmur,422,437,"{""assertion"": ""present"", ""gazetteer_term"": ""systolic murmur""}",gazetteer_sign_v1
PMC2817501_01_C0007,PMC2817501_01,4,Sign,rales,rales,442,447,"{""assertion"": ""present"", ""gazetteer_term"": ""rales""}",gazetteer_sign_v1
PMC2817501_01_C0008,PMC2817501_01,4,AnatomicalSite,lungs,lungs,478,483,"{""assertion"": ""present"", ""gazetteer_term"": ""lungs""}",gazetteer_anatomicalsite_v1
PMC2817501_01_C0009,PMC2817501_01,5,Exam,Transesophageal echocardiography,transesophageal echocardiography,485,517,"{""assertion"": ""present"", ""gazetteer_term"": ""transesophageal echocardiography""}",gazetteer_exam_v1
PMC2817501_01_C0010,PMC2817501_01,5,Diagnosis,rheumatic mitral valve disease,rheumatic mitral valve disease,612,642,"{""assertion"": ""present"", ""certainty"": ""confirmed"", ""gazetteer_term"": ""rheumatic mitral valve disease""}",gazetteer_diagnosis_v1
PMC2817501_01_C0011,PMC2817501_01,5,AnatomicalSite,pulmonary artery,pulmonary artery,803,819,"{""assertion"": ""present"", ""gazetteer_term"": ""pulmonary artery""}",gazetteer_anatomicalsite_v1
PMC2817501_01_C0012,PMC2817501_01,5,Finding,pannus formation,pannus formation,861,877,"{""assertion"": ""present"", ""gazetteer_term"": ""pannus formation""}",gazetteer_finding_v1
